bomilcar_n	m
boni	m
bonitas	f
bonna_n	f
bononia_n	f
bonum	n
bootes_n	m
boreas_n	m
boresti_n	*
borysthenes_n	m
borysthenidae_n	???
bos	m
bosphorus_n	???
bosporani_n	???
bosporus_n	m
bostar_n	m
bos_n	m
bottiaei_n	???
botularius	m
botulus	m
boudicca_n	f
bouianum_n	n
bouile	n
bouillae_n	f
boumelus_n	m
boxus_n	m
braca	m
brachiolum	n
brachium	n
bractea	f
bracteola	f
branchidae_n	m
brannouices_n	m
brassica	f
bratuspantium_n	n
brennus_n	m
breue_1	n
breuiarium	n
breuitas	f
breuni_n	*
brigantes_n	m
briganticus_n	m
brinno_n	m
brisaeus_n	m
briseis_n	f
britannia_n	f
britannicus_n	*
britanni_n	*
britto_n	m
brixellum_n	n
brixia_n	f
brocchus_n	m
brochubelus_n	4
brogitarus_n	m
bromia_n	???
bromius_n	*
brontes_n	m
